"LANGUAGE","English","French","Italian","Spanish","German","Czech"
"STR_ENGAGE","Open fire, Engage at will","Ouvrir le feu, Feu ‡ volontÈ","Aprire il fuoco, Attaccare al momento opportuno","Abrir fuego, atacar a discreciÛn","Feuer erˆffnen, Eigenst‰ndiger Angriff ","St¯Ìlet norm·lnÏ, formace voln·"
"STR_OPEN_FIRE","Open fire","Ouvrir le feu","Aprire il fuoco","Abrir fuego","Feuer erˆffnen","St¯Ìlet"
"STR_HOLD_FIRE","Hold fire","Ne pas tirer","Non sparare","Alto el fuego","Feuerpause","Nest¯Ìlet"
"STR_STEALTH","Stealth","FurtivitÈ","Movimento Furtivo","Sigilo","Tarnung","Ukr˝v·nÌ"
"STR_COMBAT","Danger","Danger","Pericolo","Peligro","Gefahr","NebezpeËÌ"
"STR_AWARE","Aware","Vigilance","Allerta","Alerta","Wachsam","OpatrnÏ"
"STR_SAFE","Safe","SÈcuritÈ","Nessun pericolo","A salvo","Sicherheit","BezpeËno"
"STR_COMBAT_MODE","Combat Mode","Mode de combat","Modalit‡ combattimento","Modalidad de combate","Kampfmodus","Reûim"
"STR_POS_UP","Stand Up","Debout","Alzarsi","En pie","Aufstehen","Vztyk"
"STR_POS_DOWN","Go prone","CouchÈ","Gettarsi a terra","Reptar","Hinlegen","K zemi"
"STR_POS_AUTO","Keep low","Imiter","Stare bassi","Copiar","Ducken","Kr˝t se"
,,,,,,
"STR_COLUMN","Column","Colonne","Colonna","En columna","Kolonne","Kolona"
"STR_STAGGERED","Staggered Col.","Colonne dÈcalÈe","Colonna a scaglioni","En columna escalonada","Gestaffelte Kol.","Dvojit· kolona"
"STR_WEDGE","Wedge","V inversÈ","Cuneo","En cuÒa","Keil","KlÌn"
"STR_ECHL","Echelon L.","Diagonale Gche","Scaglione sinistro","En escalafÛn izquierdo","Staffel links","Sled vlevo"
"STR_ECHR","Echelon R.","Diagonale Dte","Scaglione destro","En escalafÛn derecho","Staffel rechts","Sled vpravo."
"STR_VEE","Vee","V","V","En V","V-fˆrmig","VÈËko"
"STR_LINE","Line","Ligne","Linea","En lÌnea","Reihe","Rojnice"
"STR_DISENGAGE","Disengage","Repli","Ritirarsi","Retirada","Zur¸ckziehen","St·hnout se"
"STR_ENGAGE_AT_WILL","Engage at will","Feu ‡ volontÈ","Attaccare a vista","Atacar a discreciÛn","Eigenst‰ndiger Angriff","⁄toËit dle libosti"
"STR_ENGAGE_NOW","Engage","Engager","Attaccare","Atacar","Angriff","⁄toËit"
,,,,,,
"COMMENT","Command State","Etat de commandement","Stato degli ordini","Orden","Befehlsstatus","Stav"
"STR_STATE_NOCOMMAND","None","NÈant","Nessuno","Ninguna","Keiner","é·dn˝"
"STR_STATE_WAIT","Ready","PrÍt","Pronto","Preparado","Bereit","P¯ipraven"
"STR_STATE_ATTACK","Engage","Engager","Attaccare","Atacar","Angriff","⁄tok"
"STR_STATE_HIDE","Hide","Cacher","Nascondersi","Ocultarse","Verstecken","Skryt˝"
"STR_STATE_MOVE","Move","En marche","Spostarsi","Trasladarse","Bewegen","P¯esun"
"STR_STATE_HEAL","Heal","Soigner","Curarsi","Curarse","Heilen","LÈËenÌ"
"STR_STATE_REPAIR","Repair","RÈparation","Ripararsi","Reparar","Reparieren","Oprava"
"STR_STATE_REFUEL","Refuel","Ravitaillement","Rifornirsi di carburante","Repostar","Auftanken","DoplnÏnÌ paliva"
"STR_STATE_REARM","Rearm","RÈarmement","Riarmarsi","Rearmar","Neu bewaffnen","DoplnÏnÌ st¯eliva"
"STR_STATE_SUPPORT","Support","Assistance","Aiutare","Ayudar","Unterst¸tzen","Podpora"
"STR_STATE_JOIN","Follow","Suivre","Seguire","Seguir","Folgen","N·sledovat"
"STR_STATE_GETIN","Mount","Monter","Salire su","Montar","Einsteigen","N·stup"
"STR_STATE_FIRE","Fire","Feu","Fuoco","Fuego","Feuer","St¯elba"
"STR_STATE_GETOUT","Disembark","Descendre","Scendere","Desembarcar","Aussteigen","V˝stup"
"STR_STATE_STOP","Stop","ArrÍt","Fermarsi","DetÈnganse","Stop","StojÌ"
"STR_STATE_EXPECT","Wait","Attente","Attendere","Esperar","Warten","»ek·"
"STR_STATE_ACTION","Action","Action","Azione","AcciÛn","Aktion","»innost"
,,,,,,
,,,,,,
"COMMENT","Command","Commandement","Comando","Orden","Befehl","Rozkaz"
,,,,,,
"STR_NOCOMMAND","None","NÈant","Nessuno","Ninguno","Keine","é·dn˝"
"STR_WAIT","Wait","Attente","Attendere","Esperar","Warten","»ekej"
"STR_ATTACK","Engage","Engager","Attaccare","Atacar","Angriff","⁄toË na"
"STR_HIDE","Find cover","Trouver couverture","Cercare copertura","Ponerse a cubierto","Deckung suchen","Najdi kryt"
"STR_MOVE","Move","En marche","Spostarsi","Trasladarse","Bewegen","P¯esun"
"STR_HEAL","Heal","Soigner","Curarsi","Curarse","Heilen","Uzdrav"
"STR_REPAIR","Repair","RÈparation","Ripararsi","Reparar","Reparieren","Oprav"
"STR_REFUEL","Refuel","Carburant","Rifornirsi","Repostar","Auftanken","DoplÚ palivo"
"STR_REARM","Rearm","RÈarmement","Riarmarsi","Rearmar","Neu bewaffnen","DoplÚ st¯elivo"
"STR_SUPPORT","Support","Assistance","Aiutare","Ayudar","Unterst¸tzen","Podpo¯"
"STR_JOIN","Follow","Suivre","Seguire","Seguir","Folgen","N·sleduj"
"STR_GETIN","Mount","Monter","Salire su","Montar","Einsteigen","Nastup"
"STR_FIRE","Fire","Feu","Fuoco","Fuego","Feuer","St¯Ìlej"
"STR_GETOUT","Disembark","Descendre","Scendere","Desembarcar","Aussteigen","Vystup"
"STR_STOP","Stop","ArrÍt","Fermarsi","DetÈnganse","Stop","Zastav"
"STR_EXPECT","Wait for me","Attendez-moi","Aspettami","EspÈrenme","Auf mich warten","PoËkej"
"STR_ACTION","Action","Action","Azione","AcciÛn","Aktion","»innost"
,,,,,,
"STR_WATCH","Engage","Engager","Attaccare","Atacar","Angriff","Pozoruj"
"STR_WATCH_AROUND","Watch Around","Observer alentours","Guardarsi intorno","Vigilar alrededor","Gegend ¸berwachen","RozhlÌûej se"
"STR_WATCH_AUTO","No target","Pas de cible","Nessun bersaglio","No hay objetivo","Kein Ziel","é·dn˝ cÌl"
"STR_ADVANCE","Advance","Avancer","Avanzare","Avanzar","Vorr¸cken","Vp¯ed"
"STR_STAY_BACK","Stay Back","Rester en retrait","Stare indietro","Atr·s","Zur¸ckbleiben","Z˘stat vzadu"
"STR_FLANK_LEFT","Flank Left","Attaque latÈrale gauche","Fianco sinistro","Por el flanco izquierdo","Von links n‰hern","Uhnout vlevo"
"STR_FLANK_RIGHT","Flank Right","Attaque latÈrale droite","Fianco destro","Por el flanco derecho","Von rechts n‰hern","Uhnout vpravo"
"STR_NEXT_WAYPOINT","Next waypoint","Pt de passage suivant","Prossima tappa","Siguiente punto intermedio","N‰chste Wegmarke","DalöÌ bod trasy"
,,,,,,
"STR_AWAY","Away","EloignÈ","Lontano","Lejos","Fort","Daleko"
"STR_FOLLOW_ME","Return to Formation","Retour en formation","Ricomporre formazione","Volver a la formaciÛn","Zur¸ck in Formation","ZpÏt do formace"
"STR_CEASE_FIRE","Cease Fire","Cessez le feu","Cessare il fuoco","Alto el fuego","Feuer einstellen","Zastavit palbu"
,,,,,,
"STR_LEADER","Leader","Chef","Comandante","LÌder","Anf¸hrer","Velitel"
,,,,,,
"STR_RADIO_CUSTOM","Custom","Personnalisation","Personalizzato","Personalizar","Benutzerdefiniert","VlastnÌ"
,,,,,,
"STR_RADIO","Radio","Radio","Radio","Radio","Funk","R·dio"
"STR_RADIO_ALPHA","Alpha","Alpha","Alfa","Alfa","Alpha","Alfa"
"STR_RADIO_BRAVO","Bravo","Bravo","Bravo","Bravo","Bravo","Bravo"
"STR_RADIO_CHARLIE","Charlie","Charlie","Charlie","Charlie","Charlie","Charlie"
"STR_RADIO_DELTA","Delta","Delta","Delta","Delta","Delta","Delta"
"STR_RADIO_ECHO","Echo","Echo","Eco","Eco","Echo","Echo"
"STR_RADIO_FOXTROT","Foxtrot","Foxtrot","Foxtrot","Foxtrot","Foxtrot","Foxtrot"
"STR_RADIO_GOLF","Golf","Golf","Golf","Golf","Golf","Golf"
"STR_RADIO_HOTEL","Hotel","Hotel","Hotel","Hotel","Hotel","Hotel"
"STR_RADIO_INDIA","India","India","India","India","India","India"
"STR_RADIO_JULIET","Juliet","Juliet","Juliet","Juliet","Juliet","Juliet"
,,,,,,
"COMMENT","InGameUI","InGameUI","InGameUI","Interfaz del juego","InGameUI","HernÌ rozhranÌ"
"STR_UI_HBAR","Health","SantÈ","Salute","Salud","Gesundheit","ZdravÌ"
"STR_UI_ABAR","Armor","Blindage","Corazza","Blindaje","Panzerung","PancÌ¯"
"STR_UI_FBAR","Fuel","Carburant","Carburante","Combustible","Treibstoff","Palivo"
"STR_UI_EBAR","Rating","Evaluation","Livello","ClasificaciÛn","Bewertung","HodnocenÌ"
,,,,,,
"STR_UI_CARGO_INF","Cargo infantry %d","Cargaison infanterie %d","Trasporto fanteria %d","Carga de infanterÌa %d","Infanteriefracht %d","P¯ev·ûen· pÏchota %d"
"STR_UI_CARGO_FUEL","Cargo fuel %.0f","Cargaison carburant %.0f","Trasporto carburante %.0f","Carga de combustible %.0f","Treibstoff-Fracht %.0f","N·klad paliva %.0f"
"STR_UI_CARGO_REPAIR","Cargo repair %.0f","Cargaison rÈparations %.0f","Veicolo riparazioni %.0f","Carga de reparaciones %.0f","Reparaturfracht %.0f","N·hradnÌ dÌly %.0f"
"STR_UI_CARGO_AMMO","Cargo ammo %.0f","Cargaison munitions %.0f","Trasporto munizioni %.0f","Carga de municiÛn %.0f","Munitionsfracht %.0f","N·klad munice %.0f"
"STR_UI_SPEED","Speed %.0f","Vitesse %.0f","Velocit‡ %.0f","Vel. %.0f","Geschw. %.0f","Rychlost %.0f"
"STR_UI_ALT","Alt. %.0f","Alt. %.0f","Alt. %.0f","Alt. %.0f","Hˆhe %.0f","V˝öka %.0f"
,,,,,,
"COMMENT","Multiplayer statistics","Statistiques multijoueurs","Statistiche multigiocatore","EstadÌstica de varios jugadores","Mehrspieler-Statistiken","Statistiky hry vÌce hr·Ë˘"
"STR_MPTABLE_NAME","Player","Joueur","Giocatore","Jugador","Spieler","Hr·Ë"
"STR_MPTABLE_INFANTRY","Infantry","Infanterie","Fanteria","InfanterÌa","Infanterie","PÏchota"
"STR_MPTABLE_SOFT","Soft","Non blindÈ","Veicoli","Sin blindaje","Ungepanzert","LehkÈ"
"STR_MPTABLE_ARMORED","Armored","BlindÈ","Blindati","Blindado","Gepanzert","ObrnÏnÈ"
"STR_MPTABLE_AIR","Air","Air","Aerei","Aire","Luft","VzduönÈ"
"STR_MPTABLE_PLAYERS","Players","Joueurs","Giocatori","Jugadores","Spieler","Hr·Ëi"
"STR_MPTABLE_TOTAL","Total","Total","Totale","Total","Gesamt","Celkem"
"STR_MPTABLE_KILLED","Killed","DÈtruits","Ucciso","Bajas","Getˆtet","Zabit"
,,,,,,
"COMMENT","Actions","Actions","Azioni","Acciones","Aktionen","»innosti"
"STR_NO_ACTION","No action available","Pas d'action disponible","Nessuna azione disponibile","Ninguna acciÛn disponible","Keine Aktion verf¸gbar","é·dn· Ëinnost nenÌ dostupn·"
"STR_ACTION_GETIN_COMMANDER","Get in %s as commander","Entrer dans %s en tant que commandant","Salire su %s come comandante","Subirse a %s como comandante","Steigen Sie als Kommandant im %s ein.","Nastup do %s jako velitel"
"STR_ACTION_GETIN_DRIVER","Get in %s as driver","Entrer dans %s en tant que conducteur","Salire su %s come autista","Subirse a %s como conductor","Steigen Sie als Fahrer im %s ein.","Nastup do %s jako ¯idiË"
"STR_ACTION_GETIN_PILOT","Get in %s as pilot","Entrer dans %s en tant que pilote","Salire su %s come pilota","Subirse a %s como piloto","Steigen Sie als Pilot im %s ein.","Nastup do %s jako pilot"
"STR_ACTION_GETIN_GUNNER","Get in %s as gunner","Entrer dans %s en tant que tireur","Salire su %s come tiratore","Subirse a %s como artillero","Steigen Sie als Sch¸tze im %s ein.","Nastup do %s jako st¯elec"
"STR_ACTION_GETIN_CARGO","Get in %s ride in back","Entrer dans %s ‡ l'arriËre","Salire su %s come passeggero","Subirse a %s como pasajero","Steigen Sie im %s auf dem R¸cksitz ein.","Nastup do %s dozadu"
"STR_ACTION_HEAL","Heal at %s","Soigner ‡ %s","Curarsi da %s","Curarse en %s","Heilen bei %s","Oöet¯it se - %s"
"STR_ACTION_REPAIR","Repair at %s","RÈparer ‡ %s","Ripararsi da %s","Reparar en %s","Reparieren bei %s","Opravit se - %s"
"STR_ACTION_REFUEL","Refuel at %s","Ravitaillement ‡ %s","Rifornirsi di carburante da %s","Repostar en %s","Auftanken bei %s","DoplÚit palivo - %s"
"STR_ACTION_REARM","Rearm at %s","RÈarmement ‡ %s","Riarmarsi da %s","Rearmarse en %s","Neu bewaffnen bei %s","DoplÚit munici - %s"
"STR_ACTION_GETOUT","Get out","Sortir","Scendere","Salir","Aussteigen","Vystoupit"
"STR_ACTION_LIGHTON","Light on","Phares allumÈs","Fari accesi","Encender la luz","Licht an","RozsvÌtit svÏtla"
"STR_ACTION_LIGHTOFF","Light off","Phares Èteints","Fari spenti","Apagar la luz","Licht aus","Zhasnout svÏtla"
"STR_ACTION_ENGINEON","Engine on","Allumer moteur","Motore acceso","Arrancar motor","Motor an","Nastartovat"
"STR_ACTION_ENGINEOFF","Engine off","Eteindre moteur","Motore spento","Apagar motor","Motor aus","Vypnout motor"
"STR_ACTION_WEAPON","Weapon %s","Arme %s","Impugnare %s","Arma %s","Waffe %s","ZbraÚ %s"
"STR_ACTION_MAGAZINE","Reload %s","Recharger %s","Ricaricare %s","Recargar %s","Nachladen %s","NabÌt %s"
"STR_ACTION_TAKEWEAPON","Take %s","Prendre %s","Prendere %s","Tomar %s","%s aufnehmen","VzÌt - %s"
"STR_ACTION_DROPTAKEWEAPON","Take %s (drop %s)","Prendre %s (laisser %s)","Prendere %s (lasciare %s)","Tomar %s (soltar %s)","%s aufnehmen (%s ablegen)","VzÌt - %s (poloûit %s)"
"STR_ACTION_TAKEMAGAZINE","Take %s","Prendre %s","Prendere %s","Tomar %s","%s aufnehmen","VzÌt - %s"
"STR_ACTION_DROPTAKEMAGAZINE","Take %s (drop %s)","Prendre %s (laisser %s)","Prendere %s (lasciare %s)","Tomar %s (soltar %s)","%s aufnehmen (%s ablegen)","VzÌt - %s (poloûit %s)"
"STR_ACTION_TAKEFLAG","Take Flag","Prendre drapeau","Prendere bandiera","Tomar la bandera","Fahne aufnehmen","Sebrat vlajku"
"STR_ACTION_RETURNFLAG","Return Flag","Ramener drapeau","Restituire bandiera","Restituir la bandera","Fahne zur¸ckbringen","Vr·tit vlajku"
"STR_ACTION_TURNIN","Turn in","Entrer - lunette","Entrare","Acostarse","Wieder einsteigen","Zav¯Ìt poklop"
"STR_ACTION_TURNOUT","Turn out","Sortir - lunette","Uscire","Levantarse","Ausschau halten","Otev¯Ìt poklop"
"STR_ACTION_WEAPONINHAND","%s in hand","%s aux mains","Imbracciare %s","%s en la mano","%s in der Hand","%s do ruky"
"STR_ACTION_WEAPONONBACK","%s on back","%s sur le dos","%s sulle spalle","%s a la espalda","%s auf dem R¸cken","%s na z·da"
"STR_ACTION_SITDOWN","Sit down","S'asseoir","Sedersi","Sentarse","Hinsetzen","Sednout"
"STR_ACTION_EJECT","Eject","S'Èjecter","Lanciarsi","Expulsar","Abspringen","VyskoËit"
"STR_ACTION_LAND","Landing autopilot","Atterrissage auto","Pilota automatico per atterraggio","Encender piloto autom·tico","Autopilot f¸r die Landung","Zapnout autopilota"
"STR_ACTION_CANCEL_LAND","Landing autopilot off","Atterrissage auto dÈsactivÈ","Pilota automatico per atterraggio disattivato","Apagar piloto autom·tico","Autopilot f¸r die Landung abstellen","Vypnout autopilota"
"STR_ACTION_TO_DRIVER","To driver's seat","SiËge du conducteur","Al sedile dell'autista","Al asiento del conductor","Zum Sitz des Fahrers","Na mÌsto ridiËe"
"STR_ACTION_TO_PILOT","To pilot's seat","SiËge du pilote","Al sedile del pilota","Al asiento del copiloto","Zum Sitz des Piloten","Na mÌsto pilota"
"STR_ACTION_TO_GUNNER","To gunner's seat","SiËge du tireur","Al sedile del tiratore","Al asiento del artillero","Zum Sitz des Sch¸tzen","Na mÌsto st¯elce"
"STR_ACTION_TO_COMMANDER","To commander's seat","SiËge du commandant","Al sedile del comandante","Al asiento del comandante","Zum Sitz des Kommandanten","Na mÌsto velitele"
"STR_ACTION_TO_CARGO","To back seat","SiËge arriËre","Al sedile posteriore","Al asiento de atr·s","Zum R¸cksitz","Dozadu"
"STR_ACTION_HIDE_BODY","Hide body","Cacher corps","Nascondere corpo","Esconder cuerpo","Leiche verbergen","Zahrabat tÏlo"
"STR_ACTION_TOUCH_OFF","Touch Off %d bomb(s)","DÈclencher %d bombe(s)","Fare esplodere %d bomba/e","Hacer estallar %d bombas","%d Bomb(en) z¸nden","Odp·lit %d bomb(u/y)"
"STR_ACTION_START_TIMER","Set timer on (%.0f seconds)","RÈgler le minuteur sur (%.0f secondes)","Impostare timer (%.0f secondi)","Fijar el temporizador en %.0f segundos","Z‰hler auf (%.0f Sekunden) setzen","Nastav ËasovaË na %.0f vte¯in"
"STR_ACTION_SET_TIMER","Set timer +%.0f sec. (%.0f remaining)","RÈgler le timer +%.0f sec. (%.0f restantes)","Impostare timer +%.0f sec. (%.0f rimanenti)","Fijar el temporizador en +%.0f segundos (quedan %.0f)","Z‰hler auf +%.0f Sek. setzen. (es verbleiben %.0f)","Nastav ËasovaË +%.0f vte¯in (%.0f zb˝v·)"
"STR_ACTION_DEACTIVATE","Deactivate bomb","DÈsamorcer bombe","Disattivare bomba","Desactivar bomba","Bombe deaktivieren","Deaktivovat bombu"
,,,,,,
"STR_ACTION_TAKEOFF_GOGGLES","Take off NV goggles","Enlever lunettes VN","Togliere occhiali visione notturna","Quitarse las gafas-visiÛn nocturna","Nachtsichtbrille abnehmen","Sundat noËnÌ vidÏnÌ"
"STR_ACTION_TAKEON_GOGGLES","Put on NV goggles","Mettre lunettes VN","mettere occhiali visione notturna","Ponerse las gafas-visiÛn nocturna","Nachtsichtbrille aufsetzen","Nasadit noËnÌ vidÏnÌ"
"STR_ACTION_MANUAL_FIRE","Manual fire","Tir manuel","Fuoco manuale","Disparo manual","Manuelles Feuer","Manu·lnÌ ovl·d·nÌ zbranÏ"
"STR_ACTION_MANUAL_FIRE_CANCEL","Cancel manual fire","Annuler tir manuel","Annullare fuoco manuale","Cancelar disparo manual","Manuelles Feuer abbrechen","Zruöit manu·lnÌ ovl·d·nÌ zbranÏ"
"STR_ACTION_HOVER","Auto-hover","Auto-stationnaire","Volo stazionario automatico","Mantenerse inmÛvil en el aire","Automatischer Schwebeflug","Stabiliz·tor"
"STR_ACTION_HOVER_CANCEL","Cancel Auto-hover","Annuler auto-stationnaire","Annullare volo stazionario automatico","Cancelar mantenerse inmÛvil en el aire","Automatischen Schwebeflug abbrechen","Vypnout stabiliz·tor"
"STR_ACTION_STROKEFIST","Strike with fist","Frapper du poing","Colpire con pugno","Golpear con el puÒo","Mit Faust zuschlagen","Ude¯ pÏstÌ"
"STR_ACTION_STROKEGUN","Strike with gun","Frapper avec arme","Colpire con arma","Golpear con el arma","Mit Gewehr zuschlagen","Ude¯ puökou"
,,,,,,
"STR_ACTION_LADDERUP","Climb Ladder Up","Monter Èchelle","Salire la scala","Subir la escalera","Leiter hochsteigen","VylÈzt po ûeb¯Ìku"
"STR_ACTION_LADDERDOWN","Climb Ladder Down","Descendre Èchelle","Scendere la scala","Bajar la escalera","Leiter herabsteigen","SlÈzt po ûeb¯Ìku"
"STR_ACTION_LADDERON","Grasp Ladder","Saisir Èchelle","Afferrare la scala","Tomar la escalera","Leiter greifen","Chytit ûeb¯Ìk"
"STR_ACTION_LADDEROFF","Drop Ladder","L‚cher Èchelle","Lasciare la scala","Soltar la escalera","Leiter ablegen","Pustit ûeb¯Ìk"
,,,,,,
"STR_ACTION_FIRE_INFLAME","Light fire","Allumer feu","Accendere il fuoco","Encender un fuego","Feuer entz¸nden","Zap·lit oheÚ"
"STR_ACTION_FIRE_PUT_DOWN","Put out fire","Eteindre feu","Spegnere il fuoco","Apagar el fuego","Feuer lˆschen","Uhasit oheÚ"
"STR_ACTION_GEAR_UP","Gear up","Rentrer train","Carrello dentro","Subir tren de aterrizaje","Fahrgestell einziehen","Zat·hnout podvozek"
"STR_ACTION_GEAR_DOWN","Gear down","Sortir train","Carrello fuori","Bajar tren de aterrizaje","Fahrgestell ausfahren","Vysunout podvozek"
"STR_ACTION_FLAPS_UP","Flaps up","Sortir volets","Flaps su","Subir alerones","Klappen ausfahren","Klapky nahoru"
"STR_ACTION_FLAPS_DOWN","Flaps down","Rentrer volets","Flaps gi˘","Bajar alerones","Klappen einziehen","Klapky dol˘"
,,,,,,
"STR_USRACT_MOVE_FORWARD","Move forward","Avancer","Spostarsi in avanti","Avanzar","Vorw‰rts bewegen","Vp¯ed"
"STR_USRACT_MOVE_BACK","Move back","Reculer","Arretrare","Retroceder","R¸ckw‰rts bewegen","Dozadu"
"STR_USRACT_TURN_LEFT","Strafe left","DÈplacement gauche","Spostarsi a sinistra","Andar hacia la izda.","Nach links bewegen","⁄krok vlevo"
"STR_USRACT_TURN_RIGHT","Strafe right","DÈplacement droite","Spostarsi a destra","Andar hacia la dcha.","Nach rechts bewegen","⁄krok vpravo"
"STR_USRACT_MOVE_UP","Move up","Monter","Spostarsi verso l'alto","Subir","Aufw‰rts bewegen","Nahoru"
"STR_USRACT_MOVE_DOWN","Move down","Descendre","Spostarsi verso il basso","Bajar","Abw‰rts bewegen","Dol˘"
"STR_USRACT_FAST_FORWARD","Fast forward","Avancer rapidement","Avanti veloce","Avanzar r·pidamente","Schnell vorw‰rts","Rychle vp¯ed"
"STR_USRACT_SLOW_FORWARD","Slow forward","Avancer lentement","Avanti lentamente","Avanzar lentamente","Langsam vorw‰rts","Pomalu vp¯ed"
"STR_USRACT_MOVE_LEFT","Turn left","Tourner ‡ gauche","Girare a sinistra","Girar a la izquierda","Nach links drehen","OtoËenÌ vlevo"
